Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,0.07700729370117188,22.2,22.2,0.0,0.0,0.002060237993510506,0,0,0,0,0.0,0.0,True
L,0.07676124572753906,22.0,22.2,0.0,0.0,0.0020743241762932493,0,0,0,0,0.0,0.0,True
L,0.07772493362426758,22.0,22.2,0.0,0.0,0.0020696201821026137,0,0,0,0,0.0,0.0,True
L,0.08490443229675293,21.9,22.2,0.0,0.0,0.0020729029050411438,0,0,0,0,0.0,0.0,True
L,0.08370780944824219,22.0,22.2,0.0,0.0,0.0020695390411066632,0,0,0,0,0.0,0.0,True
L,0.07790613174438477,22.2,22.2,0.0,0.0,0.0020625020108514286,0,0,0,0,0.0,0.0,True
L,0.07674932479858398,21.8,22.2,0.0,0.0,0.0020822288381713446,0,0,0,0,0.0,0.0,True
L,0.077789306640625,22.1,22.2,0.0,0.0,0.0020781065895661586,0,0,0,0,0.0,0.0,True
L,0.07774591445922852,21.9,22.2,0.0,0.0,0.002067013263124942,0,0,0,0,0.0,0.0,True
L,0.07841658592224121,22.0,22.2,0.0,0.0,0.0020642101400141504,0,0,0,0,0.0,0.0,True
L,0.0779581069946289,22.1,22.2,0.0,0.0,0.002069959686035967,0,0,0,0,0.0,0.0,True
L,0.07724380493164062,22.3,22.2,0.0,0.0,0.002081039470828127,0,0,0,0,0.0,0.0,True
L,0.07703661918640137,21.7,22.2,0.0,0.0,0.002073687292324682,0,0,0,0,0.0,0.0,True
L,0.08243203163146973,22.0,22.2,0.0,0.0,0.002066752057996759,0,0,0,0,0.0,0.0,True
L,0.08738398551940918,21.8,22.2,0.0,0.0,0.0020757317465876115,0,0,0,0,0.0,0.0,True
L,0.08354401588439941,21.9,22.2,0.0,0.0,0.0020690224643954884,0,0,0,0,0.0,0.0,True
L,0.08291101455688477,21.9,22.2,0.0,0.0,0.0020650757802090055,0,0,0,0,0.0,0.0,True
L,0.08391475677490234,21.9,22.2,0.0,0.0,0.002079439107760575,0,0,0,0,0.0,0.0,True
